序号,昵称,发布日期,total,景色分,趣味分,性价比分,地区编号,comment
13,走走到拉萨,2022-03-01 08:24:41,4.0,5.0,5.0,5.0,145,性价比还行，就是离市区有点远，不过带小孩去还是可以的
14,118****716,2022-03-08 20:45:19,5.0,5.0,5.0,5.0,145,木兰草原广阔，空气新鲜，绿植丰富，可爬山，划水；游乐场项目多：骑马，射箭，划船；吃的也很丰富尤其是烤全羊，烤羊腿等等；值得推荐！
15,118****716,2022-03-08 20:47:57,5.0,5.0,5.0,5.0,145,木兰草原景色优美，地域开阔；游乐项目多：骑马，划船，骑骆驼，踩水船；大型实景演出《木兰从军》真实再现木兰上战场；晚上焰火表演！
16,no plus.,2022-03-06 00:11:51,5.0,5.0,5.0,5.0,145,很棒的表演！值得去！不管是不是本地人值得去看一次！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
17,y任我行,2021-03-19 16:58:01,5.0,5.0,5.0,5.0,145,木兰草原已经成为了武汉周边必游景点之一。辽阔奔放的的大草原，漫天飞舞风筝，悠然徐驰的小火车，成群结队的骏马，精灵可爱的小萌宠，还有各种游乐项目都值得一一打卡。最具特色的是自助烧烤，远离易燃和游玩区，单独开辟一隅，现成的烧烤架和食材，让你置身草原，畅想野外bbq的无限乐趣。
18,M31****5430,2020-08-21 13:39:37,5.0,5.0,5.0,5.0,145,这是我第一次去，映像深刻！因为那天去的路上下了大雨，到了那儿三点多的样子真的太凉爽了，抛开了夏日的炎热，迎来阵阵清爽，风景也非常宜人，我比较胆小，带着孩子只玩了滑草，晚上看了烟火表演，现场的氛围和效果非常棒，我孩子惊呆了说，这跟看电视一样的！还是得多带孩子见见世面，晚上回家他都依依不舍，因为太晚了没有看泼水节，也算遗憾的，孩子说以后还来玩！这就是对木兰草原这段旅程最好的赞扬！感谢好朋友拉我一起来，不然还窝在家里不敢出门怕热！大武汉，真好！生为武汉人真好
19,文笙特chan,2022-03-04 11:50:40,4.0,5.0,5.0,5.0,145,玩的还不错，要是***茵茵的时候就更好玩了！！&#x0A;
20,M44****8823,2020-12-05 13:28:21,5.0,5.0,5.0,4.0,145,带娃第一次来，冬天唯一的遗憾就是草坪上的草变黄了😂，玩的项目蛮多，收费也不便宜😭，骑马80一人，大人小孩同价，儿子兴趣不大，小火车他也不想坐，个人感觉草原还可以，儿子的心思不在这儿，唉，就想玩游戏（手机）。
21,M30****2804,2022-04-05 13:34:38,5.0,5.0,5.0,5.0,145,烧烤非常棒
22,M25****4078,2022-01-31 08:17:35,5.0,4.0,3.0,3.0,145,适合夏天一家人游玩，里面项目全部单独收费，最好带一个帐篷比较合适
23,lisa,2020-06-26 08:10:38,5.0,5.0,5.0,5.0,145,【景色】真的很美，一望无际草原风光。&#x0A;【趣味】玩乐项目挺多的，套票优惠。&#x0A;【性价比】性价比还可以，就是项目排队等候的时间比较久，其他的都挺好的。
24,_CFT01****0006537,2022-04-05 21:12:23,4.0,5.0,5.0,5.0,145,还不错的，景色还好
25,基督山伯爵,2022-01-07 23:48:39,4.0,4.0,4.0,4.0,145,草原很大，景色还可以。就是去的路不好走，节假日容易堵车。
26,陆王王之父,2022-04-22 15:29:40,3.0,5.0,4.0,4.0,145,一般般啦啦啦
27,问天,2022-04-04 13:10:59,3.0,5.0,5.0,5.0,145,还行吧
29,M32****966,2020-08-17 07:48:49,5.0,5.0,5.0,5.0,145,由于白天太热我们是下午三点多出发五点到达，晚上起风了很凉快呢，草原比较开阔，孩子们玩了激流勇进和滑草，很开心意犹未尽，很多人在草原上搭帐篷露营，晚上8点有晚会可以看不过要提前占位置，还看了烟花，八点半开始返程
30,Jodie,2020-08-15 22:36:31,4.0,4.0,5.0,5.0,145,慧游湖北预约去的，只用刷预约人的身份证就可进入。5点前免费，5点后因为有烟花及篝火表演，需加30元&#x2F;人。当然，夏天5点前进入真的很晒，进去之后先找阴凉处，到太阳快下山的活动的人逐渐多了起来。有各种娱乐项目，也有适合小朋友的。切记做好防晒。
31,胡斌0808,2022-01-20 09:00:08,4.0,5.0,5.0,5.0,145,去年去过一次，还不错，天气暖和了再去玩
32,小小新的大西柚,2022-01-17 09:58:08,5.0,5.0,5.0,5.0,145,景色不错，交通方便，可玩性好，还不累
33,M24****3780,2022-01-04 17:48:42,4.0,4.0,5.0,4.0,145,还不错，去年去了一次，比较满意
34,186****7773,2021-12-15 20:19:08,3.0,5.0,5.0,5.0,145,现在草原能带宠物进去吗？中型犬
35,ZT小天王,2021-12-05 22:15:21,4.0,5.0,5.0,5.0,145,景色还可以，游玩的项目还不错挺多，总体感觉还行，停车场很奈斯设计的很好，车位很多不用担心停车。
36,走向春天的下午,2022-01-20 13:13:05,5.0,5.0,5.0,4.0,145,武汉市近郊值得游玩的地方，带小朋友一起坐火车，喂小动物，赏花踏青，与大自然亲密接触，很好。
37,M53****483,2021-10-03 09:35:34,5.0,3.0,4.0,3.0,145,晚上去还是挺好玩的，滑草，彩虹滑道，滑索，卡丁车这些还值得一玩，然后看看云中战歌和篝火晚会，还有烟花，这些都比较棒！最好中午去看云中战歌，下午早点去篝火晚会占位子！
38,M43****6855,2020-11-30 08:13:31,5.0,4.0,4.0,4.0,145,木兰草原这是第一次去，从东西湖开车过去那里有点远，59公里一个多小时车程，到了地方感觉很热闹，游玩的人也很多，这次来主要就是带孩子坐网红小火车，还有滑草，买了张亲子套票。半天的时间不够玩，我们还有萌宠乐园没去，意犹未尽，下次个老公带着孩子约几个朋友一起再去。
39,腹黑多多,2020-08-17 18:44:54,5.0,5.0,5.0,5.0,145,早上去的，草原很大，玩的项目也很多，就是太晒了，热疯掉～ &#x20;一直玩到晚上，篝火晚会表演很精彩，然后的烟花秀，欧买噶，太太漂亮。不枉我晒了一天大太阳。。。&#x20;小贴士，没去过的朋友夏天适合傍晚再去。或者凉快点再去，还可以租帐篷过夜。总之，这景点还不错，又大，还有表演看，有趣好玩，。
40,_CFT01****3743355,2020-07-18 23:07:50,5.0,5.0,5.0,5.0,145,选择的夜场，性价比很高。景区比我想象的要好，朋友一起玩得很开心。&#x0A;值得一提的是，篝火晚会正要开始时，突降大雨，当时就有很多游客仓皇离场了。但是篝火晚会、烟火表演等竟然如期举办。这点真的很出乎意料。演员们冒着大雨也很认真表演，真的不容易，辛苦了，很棒体验很好，
41,M35****140,2021-09-27 19:54:38,5.0,5.0,5.0,5.0,145,值得去，项目多到可以玩一整天，场地很大不会觉得拥挤，推荐一定要坐小火车，可以作为交通工具的，晚上的烟花表演一定提前去占位置哟，还是很值得一看。
42,虎年李要行大运,2021-02-06 20:08:16,5.0,5.0,5.0,5.0,145,打卡网红小火车，游览精典美景，蓝蓝的天空，翠绿的草原，意犹未尽的项目好不刺激，园区的规划比较合理，景点之间间距不是很远，整个逛一圈也不会觉得累，一家人玩得很开心。
43,阿阿阿尐思,2021-11-04 13:20:56,5.0,4.0,4.0,4.0,145,总体非常开阔，很大，适合全家出游，好玩的项目挺多。也值得改进。&#x0A;我是十一长假后的周末去的，别人是工作日，所以不是很多，项目也不用怎么排队。携程团购的门票➕7项目&#x20;138元，我有证件就想着过去项目再买一样的。没想到省了70门票，项目没有任何优惠套餐，20&#x2F;30&#x2F;40逐一付款。加起来过了200[撇嘴]&#x20;，感觉医护人员也没挣到任何好处。上次旅游文化局又在推广这个小火车，所以我也来说几句。格桑花花很好看，就是只有一个工作人员到处吼，管理力度不够。滑草很好玩。数千不敢坐。嘿嘿
45,无疆行,2016-12-13 09:10:07,5.0,5.0,5.0,5.0,145,木兰草原，星期天去的。冬天来了，草地已经枯黄，格桑花也已经凋谢。不过周末游客还是不少，景区里可以看看羊驼，矮马，还可以骑马，骑骆驼，射箭，竹筏，水上自行车等等，而且12月底前凭年卡免费领取滑草票，价值30元，这也是滑草人气最旺的原因。出门前还可以欣赏歌舞表演，或者三五好友一起烧烤。木兰草原，一年四季都可以游玩的地方，慢慢玩两个小时足够了。
46,无疆行,2016-09-09 17:49:26,5.0,5.0,5.0,5.0,145,木兰草原去过两次，去年5月去过一次，今年是5月21日去的，正好赶上格桑花盛开，那景色绝美，而且今年格桑花面积又增加了，比去年多了很多。木兰草原还有很多游乐项目，骑马，水上自行车，滑草，滑索，最吸引人的就是大片草地，在这里搭个帐篷，再来个烧烤，太惬意了。
47,M24****9208,2020-08-09 14:04:11,5.0,5.0,5.0,5.0,145,湖北惠民旅游预约来的，人很多，风景不错
48,Easy168,2022-01-14 14:02:08,4.0,5.0,5.0,5.0,145,环境还不错，也挺方便，适合孩子玩。
49,m41****6029,2021-12-25 11:38:41,4.0,5.0,5.0,5.0,145,很不错，错峰出行人很少，感觉还行。
50,M56****822,2022-01-02 11:31:56,4.0,4.0,4.0,4.0,145,看起来还不错，以后有机会了去玩玩
51,两个世界8899,2021-12-18 16:31:27,4.0,5.0,5.0,4.0,145,还不错，比较合适几个朋友一起出游
52,M35****9823,2020-08-09 10:21:07,5.0,5.0,5.0,5.0,145,大美黄陂，繁花似锦，美不胜收。
53,骑着小猪逛超市,2022-02-08 11:23:12,5.0,5.0,5.0,5.0,145,适合一家四口春游，景色很美。
54,骑着小猪逛超市,2022-02-08 11:22:36,5.0,5.0,5.0,5.0,145,很好玩，黄陂属于武汉的后花园
55,_WeCh****38712,2020-09-12 22:48:58,5.0,4.0,5.0,4.0,145,游玩项目很多，基本可以玩一整天，孩子们玩得很开心，就是每个项目的价格必须到现场售票点才看得到，如果能在入口的导游图旁边列个表清楚标明各个游玩项目的费用，第一次来玩的游客就不会走很多冤枉路了
56,M42****9943,2021-12-26 17:50:44,5.0,5.0,5.0,5.0,145,超值，花木兰的表演很棒
57,骑着小猪逛超市,2022-02-08 11:22:53,5.0,5.0,5.0,5.0,145,武汉的后花园，赞一下
58,M25****0034,2021-12-18 10:03:54,5.0,5.0,5.0,5.0,145,很好很好很好
60,甜甜的蔚蔚,2021-12-11 15:47:02,4.0,5.0,5.0,5.0,145,不错的地方
61,袋鼠麻麻家,2021-10-01 11:41:48,5.0,5.0,5.0,5.0,145,整个景区游玩项目很多，野餐露营木兰草原是非常好的选择，晚上的篝火晚会和烟花可以玩到嗨，粉粉的小火车特别浪漫，就是小火车儿童票有点贵。
62,M22****1411,2020-08-30 09:32:08,5.0,5.0,5.0,5.0,145,小火车一人40元，一家四口160，停车停了大概3个多小时我们上个景区去了木兰天池4点多到的木兰草原，看完8.30的烟火表演就回家了……湿身派对我们没看，也没玩就走了，太累了，一下午跑完两景区
63,M36****2954,2020-11-03 21:09:57,5.0,5.0,5.0,5.0,145,【景色】去了之后，真的没让我失望，那天去的时候白天玩各个项目，晚上租了帐篷，然后看篝火晚会和烟花，吼吼吼，还拍了美美的照片，看看我的拍的小火车
64,_WeCh****18617,2021-07-26 11:11:06,5.0,5.0,5.0,5.0,145,武汉木兰草原，套票非常划算，周边停车也很方便！大草原的即视感，很美！景区内还有好多游玩项目，骑马、表演都有！晚上还有超级赞的烟花秀，太美了！
65,631****148,2021-10-08 11:51:00,5.0,5.0,5.0,5.0,145,太美了，适合家庭亲子情侣出游，视野开阔，可以露营烧烤看晚会看烟花，最爱大型蹦迪现场，哈哈哈，下次节假日还去，开心开心，希望以后会更好
66,M42****5318,2020-09-13 22:37:10,5.0,5.0,5.0,5.0,145,值得去玩，里面很大，玩的项目很多…白天可以玩玩项目，晚上可以看表演，有烟花秀，特别美，非常值得一看，还有篝火晚会，湿身派对，非常的嗨皮大人小孩都玩的那个嗨…记得要多一套衣，你懂得，还会再去的
67,M36****674,2022-01-14 14:36:02,4.0,4.0,4.0,4.0,145,位置比较偏远，里面设施还在建造，带小孩游玩还可以
68,135****1234,2017-02-26 22:45:41,5.0,4.0,3.0,4.0,145,大草原。冬天的缘故，草都是黄色的。我们从南方过来，少见宽阔的平原，心旷神怡。娱乐设施少，可以骑马。适合一家人去休闲散心。看到很多游客都带了帐篷过来。
69,狂疯牛牛,2021-09-10 20:51:31,4.0,3.0,4.0,4.0,145,疫情刚结束端午节去的&#x0A;很优惠很优惠&#x0A;人也很多&#x0A;玩的很开心，就是太阳太大太大了&#x0A;车子太难停了，哪哪都停满了。&#x0A;不过是不错的游玩体验。
70,寒涵悦1314,2020-12-09 15:05:44,5.0,5.0,5.0,5.0,145,武汉木兰草原，去过很多次了。不错，停车也很方便的。附近的停车场也比较多。从大门口走进去的路程还可以，人不多。里面很冷。我去的时候下雨，也不是很方便。天气比较冷，浏览了一下就回去了。风景还是比较好的。就是有点冷，就没多停留。。。。。。
71,蕃小蕃,2020-10-04 08:41:52,5.0,5.0,5.0,5.0,145,临时约到木兰草原，就立刻从武汉出发，车程一个小时20分钟左右！天气很给力，还看到了彩虹🌈&#x0A;小火车全程50分钟，分四站，中途可以下车玩项目，骑马，竹筏，射箭，凌波飞渡，滑草，彩虹滑梯等等，周末晚上还有篝火晚会和烟花，非常值得打卡！还会再约❤️
72,点点星光熠熠闪耀,2021-06-26 00:51:25,5.0,5.0,5.0,5.0,145,武汉周边我觉得是最好玩的地方了，情侣，家人，溜娃，聚会都很nice！夏天还有烟火，满满的夏日感受
73,M25****7258,2020-08-31 12:51:04,5.0,5.0,5.0,5.0,145,适合夜游，人很多，外地人带着孩子去自己搭帐篷，几个学生玩扑克玩到两店，又有一群吃烧烤喝酒的人疯到凌晨四点，一整夜没睡，第二天上午就离开了，个人认为景区的项目可以挑着玩，多带点吃的喝的，这个季节草原已经不绿了
74,M41****695,2017-08-19 00:23:27,4.0,4.0,4.0,4.0,145,草原环境还可以，不算太大，步行一个多小时可以转完一圈，我们带的有孩子，走走玩玩停停，所以走的稍慢一点大约两个小时！去玩之前可以准备一个风筝，就不需要在景区买了，因为草原上放风筝还是挺不错的！其他的项目都是收费项目，买套票相对实惠，我们孩子有的不能玩，所以单独买的门票！&#x0A;最关键出玩的前一天一定要看天气，我的自驾游玩了五天也没有晒红，来这里一天就晒成了小麦色，防晒超级重要！如果阴天玩耍会更合适，下点小雨也比大晴天强得多！&#x0A;然后有一点不开心就是买的白天门票本来就只有一场木兰归的表演也因为临时告知没电了就不演了，跑了几百公里就转了一圈，带孩子放放风筝，有点不太划算！如果有时间个人觉得还是买晚上票比较合适，演出多，但前提是要有电的情况下才比较合适！
75,631****148,2021-10-08 11:49:36,5.0,5.0,5.0,5.0,145,太美了，适合家庭亲子情侣出游，视野开阔，可以露营烧烤看晚会看烟花，最爱大型蹦迪现场，哈哈哈，下次节假日还去，开心开心
76,无疆行,2020-11-05 01:57:04,5.0,5.0,5.0,5.0,145,木兰草原算是老牌景区了，从那越来越大的停车场就能看出来，非周末游客都无数，不过进出景区都不用排队，很顺畅。景区除了大片草地外，格桑花最漂亮了，不过去的时机不好，这次没看到最壮观的花海，明年再来了。
77,古月风hl,2021-10-04 13:45:24,5.0,4.0,4.0,3.0,145,还是挺棒的，景色超好，蛮符合我的口味，项目多，挺有意思的，门票我们买的是通票，也挺便宜的
78,英国很美,2022-01-06 17:19:15,4.0,5.0,5.0,4.0,145,节假日个人出行，人太多了。
79,邹慕兮,2020-10-15 13:40:40,5.0,5.0,4.0,4.0,145,木兰草原记🎉&#x0A;空调房太冷，一起出来蒸桑拿吧！🌞&#x0A;周末的晚上还能&#x20;赏烟花🎆&#x20;看篝火🔥&#x20;很嗨皮很热闹喲！人从众…
80,M43****7865,2020-10-27 08:26:46,5.0,5.0,5.0,5.0,145,这个地方很值得去的，环境好工作人员也很热情。里面游玩儿的项目价格也很合适价格不贵，项目好玩儿。当时去玩儿射箭这个项目的时候钱包掉了，后来去售票处询问得知是一位驴友捡到了，在此感谢这位驴友。感谢木兰草原的工作人员。
81,m27****2184,2020-08-29 10:00:26,5.0,5.0,5.0,5.0,145,在黄鹤楼上可以看到涛涛江水&#x0A;武汉市长&#x20;江大桥&#x20;欢迎您&#x0A;黄鹤一去不复返，白云千载空悠悠&#x0A;去黄鹤楼的那天晴空万里艳阳高照景色不错，就是有点儿晒&#x0A;有免费拍摄，定向选择是否购买相片的服务&#x0A;有很多历史文物，例如书画，木制桌椅，黄鹤楼的结构图等等&#x0A;有解说&#x0A;用心去感受，嗯，是热情的武汉天气值得推荐，
82,二胖7668,2021-06-03 16:53:02,5.0,5.0,5.0,5.0,145,景色不错，有趣好玩，总体超赞，性价比高，木兰草原这个地方会长值得去看看，交通方便。从武汉市区开车过去也就个把小时左右。里面玩的项目非常多，老中青三代都适合玩。
83,_WeCh****70440,2020-11-01 14:54:17,5.0,5.0,5.0,5.0,145,景色不错，有趣好玩，总体超赞，性价比高，度假非常值得去的地方，网红小火车，滑索，烧烤区也是很值得大家去，啥也不带，烧烤区给准备套餐，已经腌制好，洗干净，处理过的食材，烧烤炉子，碳，调料都给备得齐齐的
84,科科吉吉,2020-08-29 15:53:46,5.0,5.0,5.0,5.0,145,下午去的&#x20;避开了高温&#x20;正好天气凉爽&#x20;骑在马上凉风拂面&#x20;特别舒适&#x20;晚上的晚会也很不错&#x20;最值得点赞的是&#x20;晚会结束后那么多人一起离开居然没堵车&#x20;体验感很好！
85,118****780,2022-02-14 00:21:19,4.0,4.0,3.0,4.0,145,露营还可以。
86,二胖7668,2021-06-03 16:13:19,5.0,5.0,5.0,5.0,145,这里值得去看看。里面玩的项目很多。老中青三代的适合。
87,Rumiko0628,2022-01-17 10:25:34,5.0,4.0,4.0,4.0,145,好&#x20;多次去
88,M36****855,2021-07-08 23:18:20,5.0,5.0,5.0,5.0,145,趁着假期，多带孩子出游！学习固然重要，孩子嘛！还多是让他留下愉快的童年记忆。亲子出游，能够增加父子关系，也能够多跟孩子进行交流！
89,205****312,2021-10-01 23:37:06,5.0,5.0,4.0,4.0,145,夜景值得一看，娱乐项目一般
90,千北y,2021-05-07 20:37:08,4.0,5.0,4.0,4.0,145,五月的格桑花开满地，超级漂亮，还能坐各种颜色的小火车，有山有水，有鱼有马，玩的设施也很多，可骑马射箭，价格也算亲民，快带上你的家人一起来露营吧
91,118****848,2020-10-27 14:02:40,5.0,5.0,5.0,5.0,145,性价比高，景色不错，总体超赞，有趣好玩，欣赏了晚霞和圆月，吃了月饼喝rua茶，伴着草原的第一缕阳光完美结束这次搬家式露营！
92,M33****6432,2020-11-16 11:11:33,3.0,4.0,3.0,3.0,145,木兰草原公交车站只有801路，车次较少，注意时间节点，47路已改线。格桑花花期已过，大部分被割了，只有零星的几朵。小火车40元，共四站可以进出四次。骑马80元一圈，有自由骑可选择。有BBQ区域可带烧烤工具和食材，租工具买食材2-3人份198元。食宿条件一般，有两个度假村，其他就是草原新村的家庭旅馆，能满足基本需求，有有家便利店和蔡明伟，与成熟景区有差距。
93,-易烊千玺-,2020-11-07 04:42:13,5.0,5.0,5.0,5.0,145,自从湖北开通了景区冤费旅游后，闲来无事也和朋友约了一波，我们从江夏出发&#x20;见惯了山川河流，就是没看到大片的草原，幻想着草原是什么样的，骑马会不会很爽&#x20;然后进去的话是不收门票，但是里面有很多的谕玩设施任然是收费的，我们那犬打卡了三个项目，空中索道和水上的激流勇进，很刺激，还有射箭，人均一百二左右。里面还可以骑马，坐着小火车观光，整个园区非常大，也可以支个帐篷在里面野餐。有趣好玩，景色不错，总体超赞，
94,-易烊千玺-,2020-11-07 04:38:37,5.0,5.0,5.0,5.0,145,"武汉木兰草原景区，里面跟很大，走很大一圈,可以要项目索道骑马射箭，我们从武昌去有点远哦，毕竟在郊区的黄被，开车去比较方便，一片绿油油的草原,&#x20;9月好去处啊!带给你好像到了呼伦贝尔大草愿的赶脚，亲近的接触大自然，周来休息释放压力来了，看到这么美的景色，顿时没有了烦恼&#x20;景色不错，性价比高，有趣好玩，点赞"
95,M25****585,2020-10-27 14:59:30,4.0,4.0,4.0,4.0,145,大、辽阔是木兰草原给人的第一印象慢慢走下来也有不少小惊喜新开的网红小火车比较有新意就是票价略贵大小同价40&#x2F;人晚上也可以自带帐篷露营或者住草原酒店我们自带的帐篷坏掉了酒店又满房不得已夜晚十一点开车从草原回武汉也是一次酸爽的经历
96,M48****698,2020-09-04 00:15:53,5.0,5.0,5.0,5.0,145,首先感谢***会有***的政策。让遭受疫情的***人民在疫情结束后，感受到了***的人文关怀。景区门票比较好订。人虽然多，但是景区很大，不显得拥挤。晚上的烟火晚会很好看。景区凉快，没有蚊子。很希望再去。景色不错，值得推荐，有趣好玩，体验很好，
97,你是我心中的小瑜儿,2020-08-30 09:43:56,4.0,4.0,4.0,4.0,145,一路坎坷进入草原后，环境还是不错的。一大片草原上不少人搭帐篷、拿餐垫吃饭或休息;还有人放风筝、玩无人机、跳广场舞的，其乐融融。我们吃完晚饭，已经是6点了。被告知小火车日场票售完，只能买6点后的夜场票！票价都是每人40元，超过一周岁就算成人票。每15分钟一趟车，起点到终点一圈车程40分钟。区别在于，日场票有四站，每站都有各类游玩项目，如：激流勇进、滑草、卡丁车、骑马等。到站前喇叭📢会告知下站有哪些项目，自己决定是否需要下车游玩，游玩后仍可继续上车。当然，每个项目都会单独收费！而夜场票只能从起点坐到终点，也有四站，但下车后就不能再上车，只能自己步行。但夜场有灯光加持的效果很不错！等我们排队上小火车已经快晚上7点了，自然不会选择中途下车。并且这个点的游玩项目基本都已关闭，外面黑漆漆的没有可玩性。我们一心一意坐到倒数第二站下车，准备看烟花🎇如果说木兰草原最梦幻的是小火车：有音乐🎵、糖果屋、水果派对、梦幻灯、彩虹圈、七彩轨道;&#x20;那最惊艳的就一定是烟花表演：篝火、舞蹈、魔方火🔥、喷火、吞🔥、风火轮、火龙……最最震撼的是烟花表演！随着音乐嗨起来，整个场面燃到最高！！真的惊艳到我了
98,狂疯牛牛,2020-06-26 16:56:59,3.0,5.0,5.0,5.0,145,25号太多太多人了，太热了。26号好多了，人也少些。萌宠乐园比较坑，买了票并没有很多玩的，手摇船还要二次收费。竹筏和清凉寨比没有棚子，会热给多，等候区就一个电扇。其他游乐项目都还可以。这里要特别骂一下蒙古烤肉，其实这东西，我们从来不吃，主要是为了看篝火，就买了6串填填肚子。***你大爷，我要不辣和辣的，结果假妈跟你分开拿。其实都是一样的，都是辣的。还***肥肉一大堆，因为我快2年没吃肥肉，入口就能分辨，平常人估计很难。蒙古烤肉，就在资助烧烤区旁边，***的，太坑了！赚钱赚了天天拉稀的！
99,_WeCh****70440,2020-11-01 14:52:43,5.0,5.0,5.0,5.0,145,度假非常值得去的地方，网红小火车，滑索，烧烤区也是很值得大家去，啥也不带，烧烤区给准备套餐，已经腌制好，洗干净，处理过的食材，烧烤炉子，碳，调料都给备得齐齐的有趣好玩，性价比高，景色不错，总体超赞，
100,香丘居士,2020-04-10 13:05:24,5.0,5.0,5.0,5.0,145,木兰草原，黄陂最大的景区之一。每年五月和十一月，格桑花盛开，也是木兰草原最漂亮的时候，每年这个季节，游客如织，格桑花前都是拍照的人群。除了美景，宠物乐园，高空滑索，游船等等娱乐项目也是很值得的选择。
101,M14****395,2021-10-07 00:29:55,4.0,5.0,5.0,3.0,145,风景很美，孩子玩得很尽兴，但是2大1小的亲子票有点坑，预订的时候只显示了门票加表演加游完项目，还以为可以玩几个，结果只能进萌宠乐园，其他项目都是掏钱买的。因为风太大了，晚上的表演也没看，有点遗憾。
102,E81****20,2020-08-16 17:13:09,5.0,5.0,5.0,5.0,145,尽管是人工的草原，但风景还是不错，除了草原风景，还有很多玩的项目，疫情期间，免费而且人也不多，玩的几个项目基本没排队，项目需要另外花钱。
103,M32****683,2020-10-16 23:30:59,5.0,5.0,5.0,5.0,145,非常值得去！去过两次了。烟火和篝火晚会非常好看好玩！露营非常完美。感觉是武汉最好玩的地方了。
105,迷你娅娅,2021-05-05 22:50:56,5.0,5.0,5.0,5.0,145,湖南的哥哥妹妹都来武汉了，带他们来草原体验一下，果然没让他们失望，确实很大很好玩，还住了一晚帐篷，玩得不想走。
106,香丘居士,2020-10-04 09:44:14,5.0,5.0,5.0,5.0,145,木兰草原，武汉附近最有名的景区之一。每年五月和十月都是格桑花盛开的季节，也是最适合游玩的时候，除了漫天遍野的格桑花，羊驼所在的宠物乐园，高空滑索和滑草，骑马射箭等等娱乐项目也让人流连忘返。
107,M36****0678,2021-02-28 12:54:54,5.0,5.0,5.0,5.0,145,非常漂亮，非常喜欢，犹其是周未晚上烟花非常美丽，木兰草原面积很大，游玩配套设施也非常丰富，朋友聚会，家人出游，非常理想的地方。
109,hjy333,2020-10-21 23:31:12,5.0,5.0,5.0,5.0,145,游客非常多，人气很旺，景区管理还不错，里面的服务设施比较完善，适合家庭周末出游，玩上一整天，游乐项目比较适合孩子和年轻人，晚上还有夜场，很不错
110,德拉敦石厚,2021-05-28 12:57:55,5.0,5.0,5.0,5.0,145,五一期间路上堵的不行，停车场难进难出。。草原里面风景不错，场地空旷，游玩设施齐全，是个溜娃的好地方。总体超赞，有趣好玩，景色不错，性价比高，
111,M42****0975,2020-12-13 21:03:58,5.0,5.0,5.0,5.0,145,感谢惠游湖北！第二次来木兰草原，这个时间草变黄了！先坐小火车转了一圈，然后步行转玩了喝奶的鱼，水上运动，穿越丛林，下午5点多天就黑了！与孩子进了&#x20;奇幻森林&#x20;亲子套票50元两人！就是灯光秀与广播木兰故事这个钱不值！12月以来周末人少晩会与烟花都取消了！遗憾！
